"compound_name","matched_name","final_result","CID","IUPACName","MolecularFormula","MolecularWeight","KEGG_ID","HMDB_ID","CHEBI_ID","Similarity","mzcloud_Endogenous_info"
"prolyl-tyrosine","prolyl-tyrosine",TRUE,152264,"(2S)-3-(4-hydroxyphenyl)-2-[[(2S)-pyrrolidine-2-carbonyl]amino]propanoic acid","C14H18N2O4",278.3,"Not_Access","Not_Access","74799",1,NA
"Aspartylphenylalanine","Aspartylphenylalanine",TRUE,93078,"(3S)-3-amino-4-[[(1S)-1-carboxy-2-phenylethyl]amino]-4-oxobutanoic acid","C13H16N2O5",280.28,"Not_Access","HMDB0000706","73830",1,"Endogenous Metabolites"
"Leucylphenylalanine","Leucylphenylalanine",TRUE,259325,"2-[(2-amino-4-methylpentanoyl)amino]-3-phenylpropanoic acid","C15H22N2O3",278.35,"Not_Access","HMDB0302841","Not_Access",1,NA
"12(S)-HHTrE","12(S)-HHTrE",TRUE,71684429,"(5Z,8Z,10E)-12-hydroxyheptadeca-5,8,10-trienoic acid","C17H28O3",280.4,"Not_Access","Not_Access","Not_Access",1,NA
"Mono(2-ethylhexyl) phthalate","Mono(2-ethylhexyl) phthalate",TRUE,20393,"2-(2-ethylhexoxycarbonyl)benzoic acid","C16H22O4",278.34,"C03343","HMDB0013248","17243",1,"Extractables/Leachables"
"5beta-Estrane-3alpha,17beta-diol","5beta-Estrane-3alpha,17beta-diol",TRUE,255697,"(3R,5R,8R,9R,10S,13S,14S,17S)-13-methyl-1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17-hexadecahydrocyclopenta[a]phenanthrene-3,17-diol","C18H30O2",278.4,"C15201","Not_Access","79716",1,NA
"3'-O-Methylinosine","3'-O-Methylinosine",TRUE,136662872,"9-[(2R,3R,4S,5R)-3-hydroxy-5-(hydroxymethyl)-4-methoxyoxolan-2-yl]-1H-purin-6-one","C11H14N4O5",282.25,"Not_Access","Not_Access","183886",1,NA
"2'-O-Methylinosine","2'-O-Methylinosine",TRUE,135412763,"9-[(2R,3R,4R,5R)-4-hydroxy-5-(hydroxymethyl)-3-methoxyoxolan-2-yl]-1H-purin-6-one","C11H14N4O5",282.25,"Not_Access","Not_Access","68467",1,NA
"Tyrosyl-Valine","Tyrosyl-Valine",TRUE,7009560,"(2S)-2-[[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-3-methylbutanoic acid","C14H20N2O4",280.32,"Not_Access","Not_Access","75007",1,NA
"N1-benzyloxycarbonyl-lysine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N6-benzyloxycarbonyl-lysine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyrosyl-Threonine","Tyrosyl-Threonine",TRUE,14522584,"2-[[2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-3-hydroxybutanoic acid","C13H18N2O5",282.29,"Not_Access","HMDB0029115","174005",1,NA
"Threonyltyrosine","Threonyltyrosine",TRUE,11778518,"(2S)-2-[[(2S,3R)-2-amino-3-hydroxybutanoyl]amino]-3-(4-hydroxyphenyl)propanoic acid","C13H18N2O5",282.29,"Not_Access","HMDB0029073","73667",1,NA
"Oleamide","Oleamide",TRUE,5283387,"(Z)-octadec-9-enamide","C18H35NO",281.5,"C19670","HMDB0002117","116314",1,"Endogenous Metabolites"
"Xanthosine","Xanthosine",TRUE,64959,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purine-2,6-dione","C10H12N4O6",284.23,"C01762","HMDB0000299","18107",1,"Endogenous Metabolites"
"Hexaethylene glycol","Hexaethylene glycol",TRUE,17472,"2-[2-[2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethanol","C12H26O7",282.33,"Not_Access","HMDB0061822","49793",1,"Industrial Chemicals"
"Octyl gallate","Octyl gallate",TRUE,61253,"octyl 3,4,5-trihydroxybenzoate","C15H22O5",282.33,"Not_Access","HMDB0033375","83631",1,"Personal Care Products/Cosmetics"
"Guanosine","Guanosine",TRUE,135398635,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","C10H13N5O5",283.24,"C00387","HMDB0000133","16750",1,"Endogenous Metabolites"
"Leucyl-Arginine","Leucyl-Arginine",TRUE,152914,"(2S)-2-[[(2S)-2-amino-4-methylpentanoyl]amino]-5-(diaminomethylideneamino)pentanoic acid","C12H25N5O3",287.36,"Not_Access","Not_Access","73528",1,NA
"Isoleucyl-Arginine","Isoleucyl-Arginine",TRUE,7021814,"(2S)-2-[[(2S,3S)-2-amino-3-methylpentanoyl]amino]-5-(diaminomethylideneamino)pentanoic acid","C12H25N5O3",287.36,"Not_Access","Not_Access","74061",1,NA
"Octanoylcarnitine (C8:0)",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Methoxy-3-phenylundec-2-enoic acid","2-Methoxy-3-phenylundec-2-enoic acid",TRUE,15788291,"(E)-2-methoxy-3-phenylundec-2-enoic acid","C18H26O3",290.4,"Not_Access","HMDB0257874","Not_Access",1,NA
"4-Oxo-9,11,13,15-octadecatetraenoic acid",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desbenzyl donepezil","Desbenzyl donepezil",TRUE,10446897,"5,6-dimethoxy-2-(piperidin-4-ylmethyl)-2,3-dihydroinden-1-one","C17H23NO3",289.4,"Not_Access","HMDB0013960","174058",1,NA
"EDTA","EDTA",TRUE,6049,"2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid","C10H16N2O8",292.24,"C00284","HMDB0015109","42191",1,NA
"Octyl 4-methoxycinnamic acid","Octyl 4-methoxycinnamic acid",TRUE,5355130,"2-ethylhexyl (E)-3-(4-methoxyphenyl)prop-2-enoate","C18H26O3",290.4,"Not_Access","HMDB0061861","88667",1,NA
"Phe-Lys","Phe-Lys",TRUE,15607820,"(2S)-6-amino-2-[[(2S)-2-amino-3-phenylpropanoyl]amino]hexanoic acid","C15H23N3O3",293.36,"Not_Access","HMDB0029000","141443",1,NA
"Phenylalanylglutamine","Phenylalanylglutamine",TRUE,11779156,"(2S)-5-amino-2-[[(2S)-2-amino-3-phenylpropanoyl]amino]-5-oxopentanoic acid","C14H19N3O4",293.32,"Not_Access","HMDB0028993","90354",1,NA
"Glutaminylphenylalanine","Glutaminylphenylalanine",TRUE,57288566,"(2S)-2-[[(2S)-2,5-diamino-5-oxopentanoyl]amino]-3-phenylpropanoic acid","C14H19N3O4",293.32,"Not_Access","HMDB0028804","141430",1,NA
"Phenylalanyl-Gamma-glutamate","Phenylalanyl-Gamma-glutamate",TRUE,131750780,"2-amino-5-[(2-amino-3-phenylpropanoyl)amino]-5-oxopentanoic acid","C14H19N3O4",293.32,"Not_Access","HMDB0029009","179579",1,NA
"9-Oxo-10(E),12(E)-octadecadienoic acid","9-Oxo-10(E),12(E)-octadecadienoic acid",TRUE,5283011,"(10E,12E)-9-oxooctadeca-10,12-dienoic acid","C18H30O3",294.4,"Not_Access","HMDB0247609","72843",1,"Endogenous Metabolites"
"16alpha-Hydroxysteroid","16alpha-Hydroxysteroid",TRUE,439393,"(16R)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,16-diol","C19H32O2",292.5,"C01090","Not_Access","Not_Access",1,NA
"Homo-17a-oxa-5alpha-androstan-3beta-ol",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17beta-Hydroxysteroid","17beta-Hydroxysteroid",TRUE,439890,"(17S)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,17-diol","C19H32O2",292.5,"C03051","Not_Access","Not_Access",1,NA
"Methyl linolenate","Methyl linolenate",TRUE,5319706,"methyl (9Z,12Z,15Z)-octadeca-9,12,15-trienoate","C19H32O2",292.5,"Not_Access","Not_Access","133634",1,NA
"Grevillol","Grevillol",TRUE,174862,"5-tridecylbenzene-1,3-diol","C19H32O2",292.5,"C10800","Not_Access","5545",1,NA
"Hydroxyprolyl-Tyrosine","Hydroxyprolyl-Tyrosine",TRUE,61157166,"3-(4-hydroxyphenyl)-2-[(4-hydroxypyrrolidine-2-carbonyl)amino]propanoic acid","C14H18N2O5",294.3,"Not_Access","HMDB0028875","168770",1,NA
"Nbeta-aspartyl-phenylalanine methyl ester",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyrosylhydroxyproline","Tyrosylhydroxyproline",TRUE,63842847,"(2S,4R)-1-[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]-4-hydroxypyrrolidine-2-carboxylic acid","C14H18N2O5",294.3,"Not_Access","HMDB0029106","Not_Access",1,NA
"Isoleucyl-Tyrosine","Isoleucyl-Tyrosine",TRUE,7408195,"(2S)-2-[[(2S,3S)-2-amino-3-methylpentanoyl]amino]-3-(4-hydroxyphenyl)propanoic acid","C15H22N2O4",294.35,"Not_Access","Not_Access","74326",1,NA
"Tyrosyl-Isoleucine","Tyrosyl-Isoleucine",TRUE,7019110,"(2S,3S)-2-[[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-3-methylpentanoic acid","C15H22N2O4",294.35,"Not_Access","Not_Access","74993",1,NA
"Leucyl-Tyrosine","Leucyl-Tyrosine",TRUE,70410,"(2S)-2-[[(2S)-2-amino-4-methylpentanoyl]amino]-3-(4-hydroxyphenyl)propanoic acid","C15H22N2O4",294.35,"Not_Access","Not_Access","73591",1,NA
"[6]-Gingerol","[6]-Gingerol",TRUE,442793,"(5S)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one","C17H26O4",294.4,"C10462","Not_Access","10136",1,"Endogenous Metabolites"
"5-Hydroxy-1-(3-hydroxy-4-methoxyphenyl)decan-3-one","5-Hydroxy-1-(3-hydroxy-4-methoxyphenyl)decan-3-one",TRUE,90942,"5-hydroxy-1-(3-hydroxy-4-methoxyphenyl)decan-3-one","C17H26O4",294.4,"Not_Access","HMDB0252720","Not_Access",1,"Endogenous Metabolites"
"17beta-Hydroxy-2-oxa-5alpha-androstan-3-one","17beta-Hydroxy-2-oxa-5alpha-androstan-3-one",TRUE,252289,"(1S,3aS,3bR,5aS,9aS,9bS,11aS)-1-hydroxy-9a,11a-dimethyl-2,3,3a,3b,4,5,5a,6,9,9b,10,11-dodecahydro-1H-indeno[4,5-h]isochromen-7-one","C18H28O3",292.4,"C14911","Not_Access","79436",1,NA
"Methyl [6]-paradol","Methyl [6]-paradol",TRUE,85807832,"1-(3,4-dimethoxyphenyl)decan-3-one","C18H28O3",292.4,"Not_Access","HMDB0302136","Not_Access",1,NA
"Lysylphenylalanine","Lysylphenylalanine",TRUE,151410,"(2S)-2-[[(2S)-2,6-diaminohexanoyl]amino]-3-phenylpropanoic acid","C15H23N3O3",293.36,"Not_Access","HMDB0028958","73605",1,NA
"13(S)-HODE","13(S)-HODE",TRUE,6443013,"(9Z,11E,13S)-13-hydroxyoctadeca-9,11-dienoic acid","C18H32O3",296.4,"C14762","HMDB0004667","34154",1,NA
"Kelatorphan","Kelatorphan",TRUE,123982,"(2S)-2-[[(2R)-2-benzyl-4-(hydroxyamino)-4-oxobutanoyl]amino]propanoic acid","C14H18N2O5",294.3,"Not_Access","Not_Access","Not_Access",1,NA
"gamma-Glutamylphenylalanine","gamma-Glutamylphenylalanine",TRUE,111299,"(2S)-2-amino-5-[[(1S)-1-carboxy-2-phenylethyl]amino]-5-oxopentanoic acid","C14H18N2O5",294.3,"Not_Access","HMDB0000594","89582",1,NA
"3-(2-Ethyl-5-hydroxyhexyl)phthalic acid","3-(2-Ethyl-5-hydroxyhexyl)phthalic acid",TRUE,54455912,"3-(2-ethyl-5-hydroxyhexyl)phthalic acid","C16H22O5",294.34,"Not_Access","HMDB0255402","Not_Access",1,NA
"Mono-(2-ethyl-5-hydroxyhexyl) phthalate","Mono-(2-ethyl-5-hydroxyhexyl) phthalate",TRUE,170295,"2-(2-ethyl-5-hydroxyhexoxy)carbonylbenzoic acid","C16H22O5",294.34,"Not_Access","HMDB0094679","132607",1,NA
"Hydroxyoctadeca-9,12-dienoic acid",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9-HOTE","9-HOTE",TRUE,53480359,"(9E,11E,15Z)-9-hydroxyoctadeca-9,11,15-trienoic acid","C18H30O3",294.4,"Not_Access","HMDB0010224","88438",1,"Therapeutics/Prescription Drugs"
"3,4-Dimethyl-5-pentyl-2-furanheptanoic acid","3,4-Dimethyl-5-pentyl-2-furanheptanoic acid",TRUE,13963863,"7-(3,4-dimethyl-5-pentylfuran-2-yl)heptanoic acid","C18H30O3",294.4,"Not_Access","HMDB0039603","165397",1,NA
"5-Butyl-3-methyl-2-furannonanoic acid","5-Butyl-3-methyl-2-furannonanoic acid",TRUE,85564660,"9-(5-butyl-3-methylfuran-2-yl)nonanoic acid","C18H30O3",294.4,"Not_Access","HMDB0112103","Not_Access",1,NA
"H-Tyr-gly-gly-OH","H-Tyr-gly-gly-OH",TRUE,5060023,"2-[[2-[[2-amino-3-(4-hydroxyphenyl)propanoyl]amino]acetyl]amino]acetic acid","C13H17N3O5",295.29,"Not_Access","HMDB0247865","Not_Access",1,NA
"Glycyl-tyrosyl-glycine","Glycyl-tyrosyl-glycine",TRUE,100083,"2-[[2-[(2-aminoacetyl)amino]-3-(4-hydroxyphenyl)propanoyl]amino]acetic acid","C13H17N3O5",295.29,"Not_Access","HMDB0252836","Not_Access",1,NA
"7-Methylguanosine","7-Methylguanosine",TRUE,6474236,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-7-methylpurin-9-ium-6-olate","C11H15N5O5",297.27,"Not_Access","Not_Access","Not_Access",1,"Endogenous Metabolites"
"1-Methylguanosine","1-Methylguanosine",TRUE,96373,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1-methylpurin-6-one","C11H15N5O5",297.27,"Not_Access","HMDB0001563","19062",1,"Endogenous Metabolites"
"2-Methylguanosine","2-Methylguanosine",TRUE,135501934,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-2-(methylamino)-1H-purin-6-one","C11H15N5O5",297.27,"Not_Access","HMDB0005862","19702",1,"Endogenous Metabolites"
"9-Oxooctadecanoic acid","9-Oxooctadecanoic acid",TRUE,3083831,"9-oxooctadecanoic acid","C18H34O3",298.5,"Not_Access","HMDB0030979","172114",1,NA
"Tyrosyl-Aspartate","Tyrosyl-Aspartate",TRUE,19816752,"2-[[2-amino-3-(4-hydroxyphenyl)propanoyl]amino]butanedioic acid","C13H16N2O6",296.28,"Not_Access","HMDB0029101","168375",1,NA
"Aspartyl-Tyrosine","Aspartyl-Tyrosine",TRUE,152455,"(3S)-3-amino-4-[[(1S)-1-carboxy-2-(4-hydroxyphenyl)ethyl]amino]-4-oxobutanoic acid","C13H16N2O6",296.28,"Not_Access","Not_Access","73455",1,NA
"5'-Methylthioadenosine","5'-Methylthioadenosine",TRUE,439176,"(2R,3R,4S,5S)-2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol","C11H15N5O3S",297.34,"C00170","HMDB0001173","17509",1,NA
"Norethynodrel","Norethynodrel",TRUE,6231,"(8R,9S,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,4,6,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one","C20H26O2",298.4,"C14249","Not_Access","34895",1,NA
"all-trans-3,4-Didehydroretinoate","all-trans-3,4-Didehydroretinoate",TRUE,447276,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexa-1,3-dien-1-yl)nona-2,4,6,8-tetraenoic acid","C20H26O2",298.4,"Not_Access","HMDB0060092","133794",1,NA
"4-Oxoretinal","4-Oxoretinal",TRUE,6151363,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-3-oxocyclohexen-1-yl)nona-2,4,6,8-tetraenal","C20H26O2",298.4,"Not_Access","Not_Access","139347",1,NA
"Eicosapentaenoic acid","Eicosapentaenoic acid",TRUE,446284,"(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid","C20H30O2",302.5,"C06428","HMDB0001999","28364",1,NA
"Icosa-2,4,6,8,10-pentaenoic acid",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retinoic acid (Vitamin A acid)","Retinoic acid",TRUE,444795,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid","C20H28O2",300.4,"C00777","HMDB0001852","15367",0.6047,"Therapeutics/Prescription Drugs"
"9-cis-Retinoic acid","9-cis-Retinoic acid",TRUE,449171,"(2E,4E,6Z,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid","C20H28O2",300.4,"C15493","HMDB0002369","50648",1,"Therapeutics/Prescription Drugs"
"17beta-Hydroxy-5alpha-androst-2-ene-2-carboxaldehyde","17beta-Hydroxy-5alpha-androst-2-ene-2-carboxaldehyde",TRUE,11753,"(5S,8R,9S,10S,13S,14S,17S)-17-hydroxy-10,13-dimethyl-4,5,6,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-2-carbaldehyde","C20H30O2",302.5,"C15017","Not_Access","79540",1,NA
"Icosapentaenoate","(5Z,7E,9E,14Z,17Z)-icosapentaenoate",TRUE,25244784,"(5Z,7E,9E,14Z,17Z)-icosa-5,7,9,14,17-pentaenoate","C20H29O2-",301.4,"Not_Access","Not_Access","60025",0.6275,NA
"3,7,11,15-Tetramethyl-2,4,6,10,14-hexadecapentaenoic acid","3,7,11,15-Tetramethyl-2,4,6,10,14-hexadecapentaenoic acid",TRUE,6437836,"(2E,4E,6E,10E)-3,7,11,15-tetramethylhexadeca-2,4,6,10,14-pentaenoic acid","C20H30O2",302.5,"Not_Access","HMDB0248080","Not_Access",1,NA
"Icosapentaenoic acid","Icosapentaenoic acid",TRUE,446284,"(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid","C20H30O2",302.5,"C06428","HMDB0001999","28364",1,NA
"His-Phe","His-Phe",TRUE,152198,"(2S)-2-[[(2S)-2-amino-3-(1H-imidazol-5-yl)propanoyl]amino]-3-phenylpropanoic acid","C15H18N4O3",302.33,"Not_Access","HMDB0028892","141438",1,NA
"Neuromedin B (1-3)","Neuromedin B (1-3)",TRUE,53481577,"(2R)-2-[[(2S)-4-amino-2-[(2-aminoacetyl)amino]-4-oxobutanoyl]amino]-4-methylpentanoic acid","C12H22N4O5",302.33,"Not_Access","HMDB0013016","174895",1,NA
"trichostatin A","trichostatin A",TRUE,444732,"(2E,4E,6R)-7-[4-(dimethylamino)phenyl]-N-hydroxy-4,6-dimethyl-7-oxohepta-2,4-dienamide","C17H22N2O3",302.37,"Not_Access","Not_Access","46024",1,NA
"11beta-hydroxyandrost-4-ene-3,17-dione","11beta-hydroxyandrost-4-ene-3,17-dione",TRUE,94141,"(8S,9S,10R,11S,13S,14S)-11-hydroxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione","C19H26O3",302.4,"C05284","HMDB0006773","27967",1,NA
"7alpha-Hydroxyandrostenedione","7alpha-Hydroxyandrostenedione",TRUE,65542,"(7R,8R,9S,10R,13S,14S)-7-hydroxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione","C19H26O3",302.4,"C05296","HMDB0006771","27768",1,NA
"Glu-Arg","Glu-Arg",TRUE,9796450,"(4S)-4-amino-5-[[(1S)-1-carboxy-4-(diaminomethylideneamino)butyl]amino]-5-oxopentanoic acid","C11H21N5O5",303.32,"Not_Access","HMDB0028813","157844",1,NA
"3-hydroxyoctanoyl carnitine","3-hydroxyoctanoyl carnitine",TRUE,86583357,"3-(3-hydroxyoctanoyloxy)-4-(trimethylazaniumyl)butanoate","C15H29NO5",303.39,"Not_Access","HMDB0061634","84100",1,NA
"lycosantalonol","lycosantalonol",TRUE,154586066,"1-(2,3-dimethyl-3-tricyclo[2.2.1.02,6]heptanyl)-4-hydroxy-4,8-dimethylnon-7-en-3-one","C20H32O2",304.5,"Not_Access","Not_Access","Not_Access",1,NA
"Methandriol","Methandriol",TRUE,229021,"(3S,8R,9S,10R,13S,14S,17S)-10,13,17-trimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthrene-3,17-diol","C20H32O2",304.5,"C14493","Not_Access","34834",1,NA
"4,8,12-trimethyl-16-oxoheptadeca-4,8,12-trienal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ala-Phe-Ala","Ala-Phe-Ala",TRUE,7019975,"(2S)-2-[[(2S)-2-[[(2S)-2-aminopropanoyl]amino]-3-phenylpropanoyl]amino]propanoic acid","C15H21N3O4",307.34,"Not_Access","Not_Access","158403",1,NA
"Cytidine 2',3'-cyclic phosphate","Cytidine 2',3'-cyclic phosphate",TRUE,53481030,"1-[(3aR,6R,6aR)-2-hydroxy-6-(hydroxymethyl)-2-oxo-3a,4,6,6a-tetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-4-yl]-4-aminopyrimidin-2-one","C9H12N3O7P",305.18,"Not_Access","HMDB0011691","177258",1,NA
"cyclic-UMP","cyclic-UMP",TRUE,3081385,"1-[(4aR,6R,7R,7aS)-2,7-dihydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]pyrimidine-2,4-dione","C9H11N2O8P",306.17,"C22509","Not_Access","75175",1,NA
"2',3'-Cyclic UMP","2',3'-Cyclic UMP",TRUE,439715,"1-[(3aR,4R,6R,6aR)-2-hydroxy-6-(hydroxymethyl)-2-oxo-3a,4,6,6a-tetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-4-yl]pyrimidine-2,4-dione","C9H11N2O8P",306.17,"C02355","HMDB0011640","28637",1,NA
"Propylenediamine tetra-acetic acid","Propylenediamine tetra-acetic acid",TRUE,20442,"2-[2-[bis(carboxymethyl)amino]propyl-(carboxymethyl)amino]acetic acid","C11H18N2O8",306.27,"Not_Access","HMDB0246676","Not_Access",1,NA
"Dihydrocapsiate","Dihydrocapsiate",TRUE,9873754,"(4-hydroxy-3-methoxyphenyl)methyl 8-methylnonanoate","C18H28O4",308.4,"Not_Access","HMDB0034781","174951",1,NA
"16-B1-phytoprostane","16-B1-phytoprostane",TRUE,50906754,"8-[2-[(E,3S)-3-hydroxypent-1-enyl]-5-oxocyclopenten-1-yl]octanoic acid","C18H28O4",308.4,"Not_Access","HMDB0304634","185510",1,NA
"Tyrosyl-Gamma-glutamate","Tyrosyl-Gamma-glutamate",TRUE,131750790,"2-amino-5-[[2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-5-oxopentanoic acid","C14H19N3O5",309.32,"Not_Access","HMDB0029119","174962",1,NA
"Glutaminyltyrosine","Glutaminyltyrosine",TRUE,9972600,"(2S)-2-[[(2S)-2,5-diamino-5-oxopentanoyl]amino]-3-(4-hydroxyphenyl)propanoic acid","C14H19N3O5",309.32,"Not_Access","HMDB0028809","141432",1,NA
"Tyrosyl-Glutamine","Tyrosyl-Glutamine",TRUE,7020179,"(2S)-5-amino-2-[[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-5-oxopentanoic acid","C14H19N3O5",309.32,"Not_Access","Not_Access","74881",1,NA
"N-Acetylneuraminic acid","N-Acetylneuraminic acid",TRUE,439197,"(4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid","C11H19NO9",309.27,"C00270","Not_Access","17012",1,"Endogenous Metabolites"
"10,13-epoxy-11-methyl-octadecadienoate","10,13-epoxy-11-methyl-octadecadienoate",TRUE,102515114,"9-(3-methyl-5-pentylfuran-2-yl)nonanoate","C19H31O3-",307.4,"Not_Access","Not_Access","Not_Access",1,NA
"3,4-Dimethyl-5-propyl-2-furandecanoic acid","3,4-Dimethyl-5-propyl-2-furandecanoic acid",TRUE,129887344,"10-(3,4-dimethyl-5-propylfuran-2-yl)decanoic acid","C19H32O3",308.5,"Not_Access","HMDB0094643","Not_Access",1,NA
"5-Hexyl-3,4-dimethyl-2-furanheptanoic acid","5-Hexyl-3,4-dimethyl-2-furanheptanoic acid",TRUE,85564663,"7-(5-hexyl-3,4-dimethylfuran-2-yl)heptanoic acid","C19H32O3",308.5,"Not_Access","HMDB0112090","Not_Access",1,NA
"2-[2-(4-Nonylphenoxy)ethoxy]ethanol","2-[2-(4-Nonylphenoxy)ethoxy]ethanol",TRUE,24773,"2-[2-(4-nonylphenoxy)ethoxy]ethanol","C19H32O3",308.5,"Not_Access","HMDB0255709","Not_Access",1,"Extractables/Leachables"
"13(S)-HpOTrE","13(S)-HpOTrE",TRUE,5497123,"(9Z,11E,13S,15Z)-13-hydroperoxyoctadeca-9,11,15-trienoic acid","C18H30O4",310.4,"C04785","HMDB0301803","48905",1,NA
"10-Hydroxy-3-oxooctadecatrienoic acid",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12-oxo-13-hydroxy-9(Z), 15octadecadienoate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10-oxo-9hydroxy-12(Z),15octadecadienoate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10-oxo-13-hydroxy-11(E),15octadecadienoate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5alpha-Androstane-3beta,7alpha,17beta-triol","5alpha-Androstane-3beta,7alpha,17beta-triol",TRUE,161274,"(3S,5R,7R,8R,9S,10S,13S,14S,17S)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,17-triol","C19H32O3",308.5,"Not_Access","Not_Access","85807",1,NA
"juvenile hormone 0",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Octadeca-2,4-dienedioic acid","Octadeca-2,4-dienedioic acid",TRUE,54552159,"octadeca-2,4-dienedioic acid","C18H30O4",310.4,"Not_Access","Not_Access","Not_Access",1,NA
"2HPOT",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9HPOT","9(S)-HPOT",TRUE,6450029,"(9S,10E,12Z,15Z)-9-hydroperoxyoctadeca-10,12,15-trienoic acid","C18H30O4",310.4,"C16321","Not_Access","60961",0.7143,NA
"Tyrosyl-alanyl-glycine","Tyrosyl-alanyl-glycine",TRUE,5486959,"2-[[(2R)-2-[[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]amino]propanoyl]amino]acetic acid","C14H19N3O5",309.32,"Not_Access","Not_Access","Not_Access",1,NA
"N2,N2-Dimethylguanosine","N2,N2-Dimethylguanosine",TRUE,135501639,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-2-(dimethylamino)-1H-purin-6-one","C12H17N5O5",311.29,"Not_Access","HMDB0004824","19289",1,NA
"2-Hydroxysterculic acid",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phenylalanine glutamate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
